product_id,product_ean,Categorie_L1,Categorie_L2,Categorie_L3,name,price,discount_price,seller
1792249,8806090529740,Electronics & Appliances,Large Appliances,Washers & Dryers,Samsung Front Load Washing Machine WW70T3020BS/GU 7Kg,1499,986.4,DIGITAL HUB
1943726,8806094920932,Electronics & Appliances,Large Appliances,Fridges,Samsung 345L Net Capacity Top Mount Freezer Refrigerator Refined Inox RT45CG5404S9,1999,1387.8,DIGITAL HUB
1810064,6944271660270,Electronics & Appliances,Large Appliances,Cookers,Toshiba 4 Burner Gas Cooking Range Stainless Steel Top And Front + Grey Silver Side TBA-24BMG4G089KS 60x60cm,1599,1008.41,BRAND FACTORY
1939451,6974805075188,Electronics & Appliances,Large Appliances,Dish Washer,Hisense Freestanding Dishwasher With Standing 15 Place Settings HS623E90X Silver,1529,917.4,Carrefour
1818398,6291086705420,Electronics & Appliances,Large Appliances,Freezers,Hoover 767L Upright Freezer Silver HSFR-H767-S,3699,2799,HOME with US
1721591,4242003865910,Electronics & Appliances,Large Appliances,Built-In Hob,Siemens Built-in Hob EC9B5QO90M Silver/Black 60cm,2948,2575.4,GCC Electronics
8050147570401,8050147570401,Electronics & Appliances,Large Appliances,Built-In Oven,"Ariston Built-In, 101L, Electric Oven, MS5744IXA, Made In Turkey, Inox",4099,2414.24,DIGITAL HUB
8016361838437,8016361838437,Electronics & Appliances,Large Appliances,Built-In Dish Washer,Candy Built In Under Counter Refrigerator 117 Litres CRU164E,1999,1421.8,DIGITAL HUB
1586846,8421152114353,Electronics & Appliances,Large Appliances,Built-In Fridge,Teka Built-In Fridge TFI3 130 D,3149,3149,Teka
1710436,8050147552285,Electronics & Appliances,Large Appliances,Built-In Hood,Indesit Built-in Hood IHPC 9.4 LMX Silver 90cm,1699,1199,DIGITAL HUB
8050147593752,8050147593752,Electronics & Appliances,Large Appliances,Built-In Microwave,"Ariston Built-In, 25L, Combi Microwave Oven MF25GUKIXA, Made In China, Inox",1299,734.89,DIGITAL HUB
